time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-28T01:31:28.710Z,51.702,-173.5383,32.57,5,mb,,126,1.611,0.67,us,us100072iu,2016-10-28T01:49:45.040Z,"71km SE of Atka, Alaska",earthquake,8.5,5.1,0.026,475,reviewed,us,us
2016-10-28T00:44:08.930Z,-30.092,-66.5466,27.12,4,mwr,,112,2.341,1.04,us,us100072iq,2016-10-28T01:40:07.040Z,"37km NW of Chamical, Argentina",earthquake,6.8,5.9,0.041,56,reviewed,us,us
2016-10-28T00:41:58.690Z,-2.1613,140.1565,10,5.3,mb,,21,7.205,1.03,us,us100072ir,2016-10-28T01:09:48.206Z,"70km NW of Abepura, Indonesia",earthquake,7.5,1.8,0.041,198,reviewed,us,us
2016-10-27T23:55:23.920Z,8.1454,-82.6435,10,4.4,mb,,137,0.481,1.01,us,us100072it,2016-10-28T02:01:46.590Z,"25km SSW of Guarumal, Panama",earthquake,5.2,1.9,0.161,11,reviewed,us,us
2016-10-27T22:46:24.340Z,53.5623,-163.2527,10,4.4,mb,,167,1.3,1.19,us,us100072hk,2016-10-27T23:39:20.733Z,"143km S of False Pass, Alaska",earthquake,7,1.9,0.093,33,reviewed,us,us
2016-10-27T22:09:29.930Z,-33.7453,-72.6236,15.69,4.3,mwr,,182,0.845,0.89,us,us100072he,2016-10-27T22:53:59.040Z,"94km W of San Antonio, Chile",earthquake,4.2,5.7,0.043,53,reviewed,us,us
2016-10-27T22:08:34.700Z,19.4228333,-155.3276667,7.736,3.66,ml,51,64,0.03069,0.09,hv,hv61459911,2016-10-28T02:22:21.885Z,"9km W of Volcano, Hawaii",earthquake,0.25,0.38,0.245,28,reviewed,hv,hv
2016-10-27T21:53:59.160Z,-13.1809,167.0985,205.25,4.7,mb,,59,7.555,0.72,us,us100072hb,2016-10-27T22:40:59.040Z,"91km NNW of Sola, Vanuatu",earthquake,11.8,7.7,0.053,107,reviewed,us,us
2016-10-27T20:32:55.710Z,-33.7647,-72.5338,14.8,5.9,mwb,,80,0.773,1.14,us,us100072gn,2016-10-27T22:38:16.057Z,"86km WSW of San Antonio, Chile",earthquake,4.2,3,0.062,25,reviewed,us,us
2016-10-27T20:11:00.000Z,61.5102,-146.5753,14.6,2.9,ml,,,,0.85,ak,ak14278102,2016-10-27T20:51:36.279Z,"43km NNW of Valdez, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-10-27T17:22:24.040Z,42.8038,13.1004,10,4.2,mwr,,39,0.031,0.9,us,us100072fm,2016-10-27T18:27:22.225Z,"1km NNE of Norcia, Italy",earthquake,5.5,1.9,0.047,44,reviewed,us,us
2016-10-27T16:24:19.850Z,53.5465,-163.2548,8.98,4.3,mb,,161,1.316,1.13,us,us100072dz,2016-10-27T21:22:43.040Z,"145km S of False Pass, Alaska",earthquake,7.1,5.7,0.09,37,reviewed,us,us
2016-10-27T16:08:44.670Z,53.6503,-163.2735,10,3.3,ml,,207,1.211,1.47,us,us100072fv,2016-10-27T21:04:43.040Z,"133km S of False Pass, Alaska",earthquake,4.9,2,0.148,6,reviewed,us,us
2016-10-27T16:06:06.000Z,53.0158,-169.8631,159.2,3.2,ml,,,,0.43,ak,ak14277355,2016-10-27T17:38:47.865Z,"67km W of Nikolski, Alaska",earthquake,5.8,1.2,,,reviewed,ak,ak
2016-10-27T15:55:09.690Z,53.4392,-163.164,9.27,3.8,mb,,208,1.428,0.93,us,us100072gg,2016-10-27T20:37:57.040Z,"157km S of False Pass, Alaska",earthquake,6.9,10.6,0.153,11,reviewed,us,us
2016-10-27T15:54:40.660Z,53.4794,-163.0971,10,3.6,ml,,208,1.392,1.03,us,us100072fl,2016-10-27T20:18:05.040Z,"154km S of False Pass, Alaska",earthquake,5.9,2,0.115,10,reviewed,us,us
2016-10-27T15:50:37.910Z,-30.0602,-66.5512,25.26,4.6,mb,,57,2.358,0.96,us,us100072dj,2016-10-27T19:01:22.063Z,"40km NW of Chamical, Argentina",earthquake,6.7,2.8,0.122,25,reviewed,us,us
2016-10-27T14:06:53.000Z,53.6114,-163.2938,39.8,3,ml,,,,0.71,ak,ak14277560,2016-10-27T17:17:56.657Z,"138km S of False Pass, Alaska",earthquake,0.8,0.9,,,reviewed,ak,ak
2016-10-27T12:44:59.200Z,53.6309,-163.3135,12.69,4.9,mb,,169,1.229,1.32,us,us100072c6,2016-10-27T16:15:14.525Z,"135km S of False Pass, Alaska",earthquake,7.3,6.6,0.078,51,reviewed,us,us
2016-10-27T12:00:01.000Z,53.4149,-163.153,5.5,3.6,ml,,,,0.37,ak,ak14276455,2016-10-27T16:57:16.624Z,"160km S of False Pass, Alaska",earthquake,1.4,1.5,,,reviewed,ak,ak
2016-10-27T11:53:18.110Z,53.6236,-163.2767,17.22,5.8,mwp,,125,1.238,1.07,us,us100072bs,2016-10-27T18:57:06.000Z,"136km S of False Pass, Alaska",earthquake,6,4.2,,,reviewed,us,us
2016-10-27T11:03:26.000Z,63.2931,-151.8828,0,2.5,ml,,,,0.8,ak,ak14276231,2016-10-27T11:30:05.457Z,"140km NW of Talkeetna, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-10-27T11:01:20.000Z,63.2981,-152.13,9.6,2.8,ml,,,,0.89,ak,ak14276221,2016-10-27T11:30:04.608Z,"149km NW of Talkeetna, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-10-27T08:21:45.930Z,42.8379,13.0519,3.81,4.3,mwr,,85,0.046,0.72,us,us100072aj,2016-10-27T08:47:35.040Z,"6km NW of Norcia, Italy",earthquake,4.4,6,0.047,44,reviewed,us,us
2016-10-27T08:17:49.660Z,1.3287,125.7931,56.14,5.8,mwb,,33,1.667,1.12,us,us100072ai,2016-10-27T15:12:39.000Z,"69km E of Bitung, Indonesia",earthquake,6.3,5.1,0.045,47,reviewed,us,us
2016-10-27T08:02:21.100Z,32.8856,-100.9022,4.07,2.9,mb_lg,,51,1.092,0.73,us,us100072ah,2016-10-27T22:31:14.311Z,"18km N of Snyder, Texas",earthquake,3.6,7.2,0.059,74,reviewed,us,us
2016-10-27T06:48:32.660Z,44.5057,146.91,123.14,4.6,mb,,134,3.702,0.72,us,us100072ad,2016-10-27T07:17:27.040Z,"79km N of Shikotan, Russia",earthquake,9.4,7,0.048,130,reviewed,us,us
2016-10-27T06:44:12.100Z,19.0687,-64.8779,9,3,Md,8,288,0.69439771,0.3,pr,pr16301003,2016-10-27T08:52:27.994Z,"77km NNW of Road Town, British Virgin Islands",earthquake,6.7,9.3,0,7,reviewed,pr,pr
2016-10-27T06:37:23.900Z,40.3704987,-124.5159988,23.62,4.11,mw,24,252,0.172,0.17,nc,nc72716540,2016-10-28T02:14:48.071Z,"31km SW of Ferndale, California",earthquake,2.39,0.95,,4,reviewed,nc,nc
2016-10-27T06:08:39.160Z,35.663,-97.1604,8.59,3.2,mb_lg,,64,0.026,0.42,us,us100072aa,2016-10-27T21:22:44.204Z,"3km E of Luther, Oklahoma",earthquake,0.9,2.7,0.053,93,reviewed,us,us
2016-10-27T04:45:53.180Z,-1.08,-80.2751,40.08,4.5,mb,,97,1.464,1.22,us,us100072gt,2016-10-27T22:36:16.910Z,"17km SSW of Junin, Ecuador",earthquake,7,9.8,0.118,21,reviewed,us,us
2016-10-27T04:23:51.780Z,13.2518,-89.5516,58.69,4.1,mb,,174,0.532,0.78,us,us100072h4,2016-10-28T01:46:17.066Z,"36km SW of La Libertad, El Salvador",earthquake,6.9,11,0.158,11,reviewed,us,us
2016-10-27T04:03:50.000Z,18.7798,-67.5678,5,2.7,Md,6,316.8,0.53180265,0.25,pr,pr16301002,2016-10-27T08:26:39.452Z,"58km NW of Aguadilla, Puerto Rico",earthquake,2.4,2.5,0,4,reviewed,pr,pr
2016-10-27T03:56:38.700Z,18.5695,-65.0329,27,3,Md,13,212.4,0.22996871,0.15,pr,pr16301001,2016-10-27T04:33:52.287Z,"27km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,0.7,1.5,0,11,reviewed,pr,pr
2016-10-27T03:50:24.490Z,42.9315,13.0468,10,4.2,mwr,,71,0.249,0.33,us,us1000729w,2016-10-27T18:11:54.098Z,"3km W of Visso, Italy",earthquake,4.2,2,0.066,22,reviewed,us,us
2016-10-27T03:20:27.540Z,35.1052,-97.7297,8.27,2.7,mb_lg,,78,0.304,0.34,us,us1000729q,2016-10-27T21:29:59.748Z,"7km WSW of Blanchard, Oklahoma",earthquake,0.9,4.2,0.083,38,reviewed,us,us
2016-10-27T03:19:27.910Z,42.8301,13.1201,10,4.5,mb,,39,0.281,0.69,us,us1000729p,2016-10-27T04:26:01.040Z,"4km NNE of Norcia, Italy",earthquake,5.2,1.9,0.124,19,reviewed,us,us
